"id","ut","level","type","region","tel","website"
"253","广东海洋大学","普通本科","综合类","广东","0759-2396115","http://zsjy.gdou.edu.cn/"
"254","广州中医药大学","普通本科","医药类","广东","020-39357999,020-39357088","https://xsc.gzucm.edu.cn/bzkzs/zsxx/zszc.htm"
"255","广东外语外贸大学","普通本科","语言类","广东","020-36204310,020-36207054","http://zsb.gdufs.edu.cn"
"256","东莞理工学院","普通本科","理工类","广东","0769-22861919,0769-22861918","http://zsb.dgut.edu.cn/"
"257","广东石油化工学院","普通本科","综合类","广东","0668-2923508,0668-2981099","http://zs.gdupt.edu.cn"
"258","广州大学","普通本科","综合类","广东","020-39366232","http://zsjy.gzhu.edu.cn"
"259","广东医科大学","普通本科","医药类","广东","0769-22896175","http://zs.gdmu.edu.cn"
"260","广州医科大学","普通本科","医药类","广东","020-81340278,020-37103483","http://zs.gzhmu.edu.cn"
"261","广东药科大学","普通本科","医药类","广东","020-39352027,020-39353293","http://zsb.gdpu.edu.cn"
"262","韩山师范学院","普通本科","师范类","广东","0768-2525449","http://zsb.hstc.edu.cn"
"263","韶关学院","普通本科","综合类","广东","0751-8120024","http://zs.sgu.edu.cn"
"264","岭南师范学院","普通本科","师范类","广东","0759-3183189,0759-3183211","http://zsb.lingnan.edu.cn"
"265","惠州学院","普通本科","综合类","广东惠城区","0752-2527803","http://zs.hzu.edu.cn/"
"266","嘉应学院","普通本科","综合类","广东","0753-2186877,0753-2186713","http://zs.jyu.edu.cn"
"267","广东财经大学","普通本科","财经类","广东","020-84096844","http://zsb.gdufe.edu.cn"
"268","广州体育学院","普通本科","体育类","广东天河区","020-38024685,020-38027983","http://gtzs.gipe.edu.cn/"
"269","广州美术学院","普通本科","艺术类","广东","020-84017740","http://zs.gzarts.edu.cn/"
"270","星海音乐学院","普通本科","艺术类","广东花都区","020-39363666","http://www.xhzsb.com"
"271","佛山科学技术学院","普通本科","理工类","广东","0757-83989841,0757-82982304","https://zsb.fosu.edu.cn"
"272","上海理工大学","普通本科","理工类","上海杨浦区","021-55270799","http://zhaoban.usst.edu.cn/"
"273","上海工程技术大学","普通本科","理工类","上海松江区","021-62750183","https://zsb.sues.edu.cn/webrecruit/index.do"
"274","上海海洋大学","普通本科","综合类","上海浦东新区","021-61900607,021-61900608,021-61900609","https://zsjy.shou.edu.cn/"
"275","上海中医药大学","普通本科","医药类","上海浦东新区","021-51322028","http://ygzs.shutcm.edu.cn/"
"276","上海师范大学","普通本科","综合类","上海徐汇区","021-64322695","http://ssdzsb.shnu.edu.cn"
"277","上海第二工业大学","普通本科","理工类","上海浦东新区","021-50217411,021-50214975","http://zsb.sspu.edu.cn/"
"278","上海海事大学","普通本科","理工类","上海浦东新区","021-38282000","http://admission.shmtu.edu.cn/"
"279","安徽师范大学","普通本科","师范类","安徽","0553-5910161","http://zsxx.ahnu.edu.cn/"
"280","上海应用技术大学","普通本科","理工类","上海奉贤区","021-64941403,021-64948576,021-64948577,021-64940020,021-64940021","https://adm.sit.edu.cn/"
"281","安徽工程大学","普通本科","理工类","安徽","0553-2871043","http://zsb.ahpu.edu.cn"
"282","上海电力大学","普通本科","理工类","上海杨浦区","021-35303755","https://zs.shiep.edu.cn/"
"283","上海对外经贸大学","普通本科","财经类","上海松江区","021-67703050","http://zhaosheng.suibe.edu.cn/"
"284","上海立信会计金融学院","普通本科","财经类","上海黄浦区","021-50218552,021-67705112","http://zhaosheng.lixin.edu.cn/"
"285","安徽建筑大学","普通本科","理工类","安徽","0551-63828083","http://www.ahjzu.edu.cn/zsw/main.htm"
"286","华东政法大学","普通本科","政法类","上海松江区","021-57090220","http://zsb.ecupl.edu.cn/"
"287","上海体育学院","普通本科","体育类","上海杨浦区","021-65506175","http://bkzs.sus.edu.cn"
"288","皖南医学院","普通本科","医药类","安徽","0553-3932637","http://zsb.wnmc.edu.cn"
"289","上海音乐学院","普通本科","艺术类","上海徐汇区","021-64376411","http://www.shcmusic.edu.cn"
"290","上海戏剧学院","普通本科","艺术类","上海静安区","021-62488077","http://zs.sta.edu.cn"
"291","淮北师范大学","普通本科","综合类","安徽","0561-3803276,0561-3802146","http://zsb.chnu.edu.cn/"
"292","上海杉达学院","普通本科","财经类","上海浦东新区","021-50210894,0573-84239202","https://zsw.sandau.edu.cn/"
"293","西安交通大学","985 211","综合类","陕西碑林区","029-82668320","http://zs.xjtu.edu.cn/"
"294","安徽科技学院","普通本科","综合类","安徽","0550-6732041,0552-3197041","http://www.ahstu.edu.cn/zsc/"
"295","西北农林科技大学","985 211","农林类","陕西杨陵区","029-87091406,029-87091407,029-87091408,029-87091409","http://zhshw.nwsuaf.edu.cn"
"296","淮南师范学院","普通本科","师范类","安徽","0554-6863550","http://zsb.hnnu.edu.cn/"
"297","陕西师范大学","211","师范类","陕西长安区","029-85310330,029-85310188","http://zsb.snnu.edu.cn"
"298","安徽财经大学","普通本科","财经类","安徽","0552-3176767,0552-3177676","http://zsjy.aufe.edu.cn/"
"299","延安大学","普通本科","综合类","陕西宝塔区","0911-2332050,18709110037","http://zsw.yau.edu.cn"
"300","皖西学院","普通本科","综合类","安徽","0564-3305015,0564-3305004","https://zsb.wxc.edu.cn/"
"301","合肥学院","普通本科","综合类","安徽巢湖市","0551-62158118,0551-62159118","http://www.hfuu.edu.cn/zs/"
"302","巢湖学院","普通本科","综合类","安徽巢湖市","0551-82361303,0551-82361098","https://www.chu.edu.cn/zsw/"
"303","铜陵学院","普通本科","财经类","安徽铜官区","0562-5883647,0562-5881020,0562-5881961","http://zsb.tlu.edu.cn"
"304","黄山学院","普通本科","综合类","安徽","0559-2546568","https://zsb.hsu.edu.cn/"
"305","昆明理工大学","普通本科","理工类","云南","0871-5194108,0871-65192860","http://www.kmust.edu.cn/zsjy/bkszs.htm"
"306","云南农业大学","普通本科","农林类","云南盘龙区","0871-65227706,0871-65226172","http://zjc.ynau.edu.cn"
"307","云南师范大学","普通本科","师范类","云南呈贡区","0871-65912887,0871-65910379","http://zsc.ynnu.edu.cn"
"308","云南民族大学","普通本科","民族类","云南","0871-5172133","http://zsjyc.ynni.edu.cn/"
"309","西南林业大学","普通本科","农林类","云南盘龙区","0871-3863101,0871-63863200","http://zb.swfu.edu.cn/"
"310","昆明医科大学","普通本科","医药类","云南","0871-65922957,13708407471","http://www.kmmu.edu.cn/zsb"
"311","云南中医药大学","普通本科","医药类","云南呈贡区","0871—65918999","http://www.zsb.ynutcm.edu.cn/"
"312","西安理工大学","普通本科","理工类","陕西","029-82312504","http://zhaosheng.xaut.edu.cn/"
"313","玉溪师范学院","普通本科","师范类","云南红塔区","0877-2057041,0877-2050750","http://zb.yxnu.net/"
"314","西安建筑科技大学","普通本科","理工类","陕西碑林区","029-82202288,029-82205014","http://zhaosheng.xauat.edu.cn/"
"315","西安科技大学","普通本科","理工类","陕西","029-85583041","http://zs.xust.edu.cn"
"316","楚雄师范学院","普通本科","师范类","云南","0878-3129000,0878-3100887","http://zs.cxtc.edu.cn"
"317","西安石油大学","普通本科","理工类","陕西","029-88382310,029-81469808","http://zb.xsyu.edu.cn"
"318","红河学院","普通本科","综合类","云南红河县","0873-3694008","http://zs.uoh.edu.cn/"
"319","云南财经大学","普通本科","财经类","云南","0871-65132629","http://202.203.193.167/YnufeZS/Web/Home/Index"
"320","陕西科技大学","普通本科","理工类","陕西","029-86168100,029-86168101","http://zsxx.sust.edu.cn/"
"321","西安工程大学","普通本科","理工类","陕西","029-82330087","http://zsb.xpu.edu.cn/"
"322","云南警官学院","普通本科","政法类","云南","0871-65125133,0871-65188859","http://www.ynpc.edu.cn/site/ypoa/bkszs/index.html"
"323","云南艺术学院","普通本科","艺术类","云南呈贡区","0871-65937127,0871-65937128","http://zs.ynart.edu.cn/bkzs.htm"
"324","西安工业大学","普通本科","理工类","陕西未央区","029-86173115","http://zsb.xatu.cn"
"325","大理大学","普通本科","综合类","云南大理市","0872-2219956,0872-2219959","http://zs.dali.edu.cn/"
"326","西安邮电大学","普通本科","理工类","陕西长安区","029-88166660,029-88166199","http://zhaosheng.xupt.edu.cn"
"327","西藏大学","211","综合类","西藏城关区","0891-6405900","http://zjc.utibet.edu.cn/"
"328","陕西中医药大学","普通本科","医药类","陕西杨陵区","029-38185360,029-38184259","http://zs.sntcm.edu.cn"
"329","咸阳师范学院","普通本科","师范类","陕西","029-33720888","http://www.xync.edu.cn/"
"330","青海大学","211","综合类","青海城西区","0971-5310697","https://zsw.qhu.edu.cn/"
"331","渭南师范学院","普通本科","师范类","陕西","0913-2136900","http://zsb.wnu.edu.cn/"
"332","宝鸡文理学院","普通本科","师范类","陕西","0917-3361066","http://ein.bjwlxy.cn"
"333","青海师范大学","普通本科","师范类","青海","0971-6318787","https://zsb.qhnu.edu.cn/"
"334","陕西理工大学","普通本科","理工类","陕西","0916-2641900,0916-2641884","http://zs.snut.edu.cn"
"335","青海民族大学","普通本科","民族类","青海城东区","0971-8808501,0971-8804611","http://zhaosheng.qhmu.edu.cn/"
"336","西安外国语大学","普通本科","语言类","陕西","029-85319401,029-85319500","http://zhaosheng.xisu.edu.cn/"
"337","北华大学","普通本科","综合类","吉林丰满区","0432-64608596,0432-64608592","http://www.bhjyw.com/"
"338","西安财经大学","普通本科","财经类","陕西长安区","029-81556128","http://zhaosheng.xaufe.edu.cn"
"339","西北政法大学","普通本科","政法类","陕西","029-88182275,029-88182277","https://bkzn.nwupl.edu.cn/"
"340","长春大学","普通本科","综合类","吉林九台区","0431-85250087","http://zsb.ccu.edu.cn"
"341","西安体育学院","普通本科","体育类","陕西","029-88409422","http://www.xaipe.edu.cn/zsbgs/"
"342","长春理工大学","普通本科","理工类","吉林","0431-85582999","http://zsb.cust.edu.cn/"
"343","西安音乐学院","普通本科","艺术类","陕西雁塔区","029-88667077,029-88667076","http://zsb.xacom.edu.cn"
"344","长春工业大学","普通本科","理工类","吉林","0431-85914753","http://bzkzs.ccut.edu.cn/index/"
"345","西安美术学院","普通本科","艺术类","陕西","029-88222342,029-88247882,029-88221716","http://www.zhshch.xafa.edu.cn/"
"346","西安培华学院","普通本科","综合类","陕西","029-85680000,029-85680001","http://www.peihua.edu.cn/zhaosheng/index.htm"
"347","吉林农业大学","普通本科","农林类","吉林","0431-84532980","http://zhaosheng.jlau.edu.cn/static/front/jlau/basic/html_cms/"
"348","湘潭大学","普通本科","综合类","湖南","0731-58293275,0731-58293451","http://zhaosheng.xtu.edu.cn/"
"349","吉首大学","普通本科","综合类","湖南","0743-8564141,0743-8563838","http://jsuzs.jysd.com/"
"350","长春师范大学","普通本科","师范类","吉林","0431-86168222","http://zhaosheng.ccsfu.edu.cn/"
"351","湖南科技大学","普通本科","综合类","湖南","0731-58273804,0731-58273805,0731-58273808","http://zs.hnust.cn"
"352","长沙理工大学","普通本科","理工类","湖南天心区","0731-85256175","http://zs.csust.edu.cn"
"353","吉林师范大学","普通本科","师范类","吉林铁西区","0434-3294661","http://web.jlnu.edu.cn/zsb/"
"354","南华大学","普通本科","综合类","湖南石鼓区","0734-8282553,0734-8282711","http://zsw.usc.edu.cn/static/front/usc/basic/html_cms/"
"355","湖南农业大学","普通本科","农林类","湖南芙蓉区","0731-84618084","http://zs.hunau.edu.cn"
"356","东北电力大学","普通本科","理工类","吉林船营区","0432-64806749","http://zs.neepu.edu.cn/"
"357","长春工程学院","普通本科","理工类","吉林朝阳区","0431-85947183,0431-85711299","http://zsb.ccit.edu.cn/"
"358","吉林建筑大学","普通本科","理工类","吉林","0431-84566063,0431-84566071","http://zj.jlju.edu.cn/zs/index.htm"
"359","湖南理工学院","普通本科","理工类","湖南云溪区","0730-8648876","http://zjc.hnist.cn/"
"360","湖南城市学院","普通本科","综合类","湖南资阳区","0737-4628168,0737-6355818","http://zj.hncu.net"
"361","湖南工业大学","普通本科","理工类","湖南天元区","0731-22183311,0731-22183355","http://zsb.hut.edu.cn"
"362","湖南工程学院","普通本科","理工类","湖南岳塘区","0731-58688511,0731-58683867","http://hniezs.bibibi.net/recruit/index/index"
"363","吉林化工学院","普通本科","理工类","吉林","0432-63083056,0432-63086679","http://zsjyc.jlict.edu.cn/"
"364","中南林业科技大学","普通本科","农林类","湖南","0731-85623099,0731-85623098","http://zs.csuft.edu.cn"
"365","湖南中医药大学","普通本科","医药类","湖南岳麓区","0731-85381101","http://zhaosheng.hnucm.edu.cn"
"366","湘南学院","普通本科","综合类","湖南苏仙区","0735-2653053,0735-2653289,0735-2653052","https://zs.xnu.edu.cn/"
"367","长春中医药大学","普通本科","医药类","吉林","0431-86172018,0431-86172896,0431-86172013","http://zhaosheng.ccucm.edu.cn"
"368","吉林工程技术师范学院","普通本科","师范类","吉林","0431-86908039","http://zs.jlenu.edu.cn/"
"369","衡阳师范学院","普通本科","师范类","湖南","0734-8486615,0734-8484941","http://zs.hynu.cn"
"370","湖南工商大学","普通本科","财经类","湖南岳麓区","0731-88686693,0731-88686667,0731-88686694","http://admi.hutb.edu.cn/"
"371","通化师范学院","普通本科","师范类","吉林","0435-3209788","http://admissions.thnu.edu.cn/recruit/index/index"
"372","湖南科技学院","普通本科","理工类","湖南零陵区","0746-6382188","http://zs.huse.cn/"
"373","白城师范学院","普通本科","师范类","吉林洮北区","0436-3555068","http://zsb.bcsfxy.com/"
"374","吉林外国语大学","普通本科","语言类","吉林长春净月高新技术产业开发区","0431-84533585,0431-84533588,0431-84533589","http://zs.jisu.edu.cn/"
"375","吉林财经大学","普通本科","财经类","吉林","0431-84539100","http://newzs.jlufe.edu.cn/"
"376","吉林体育学院","普通本科","体育类","吉林南关区","0431-85267666","http://www.jlsu.edu.cn/a/xzbm/zsjy/bkzs/"
"377","中南财经政法大学","211","财经类","湖北东西湖区","027-88387338,027-88386200,027-88386181","http://bkzs.zuel.edu.cn/"
"378","湖南文理学院","普通本科","综合类","湖南","0736-7186057,0736-7186059","http://zj.huas.edu.cn/wzsy.htm"
"379","怀化学院","普通本科","综合类","湖南","0745-2853370","http://zsb.hhtc.edu.cn"
"380","华中农业大学","211","农林类","湖北洪山区","027-87282027,027-87384670","http://zs.hzau.edu.cn/"
"381","邵阳学院","普通本科","综合类","湖南大祥区","0739-5432591,0739-5308781","http://zsjy.hnsyu.net/zhaosheng/"
"382","东北林业大学","211","农林类","黑龙江香坊区","0451-82190346","https://zhaosheng.nefu.edu.cn/"
"383","华中师范大学","211","师范类","湖北洪山区","027-67861550,027-67863374","http://zs.ccnu.edu.cn/"
"384","黑龙江大学","普通本科","综合类","黑龙江南岗区","0451-86608661","http://zsb.hlju.edu.cn/"
"385","佳木斯大学","普通本科","综合类","黑龙江","0454-8796220,0454-8618158","http://zs.jmsu.edu.cn/"
"386","中南民族大学","普通本科","综合类","湖北洪山区","027-67842763","https://zsb.scuec.edu.cn/"
"387","齐齐哈尔大学","普通本科","综合类","黑龙江建华区","0452-2738190","http://zs.qqhru.edu.cn/"
"388","湖北大学","普通本科","综合类","湖北","027-88755167","http://zsxx.hubu.edu.cn"
"389","哈尔滨理工大学","普通本科","理工类","黑龙江南岗区","0451－86390111","http://zs.hrbust.edu.cn/"
"390","黑龙江八一农垦大学","普通本科","农林类","黑龙江","0459-6819043,0459-6819044","http://zhaosheng.byau.edu.cn/"
"391","长江大学","普通本科","综合类","湖北荆州区","0716-8067167,0716-8060550","http://zszc.yangtzeu.edu.cn"
"392","哈尔滨医科大学","普通本科","医药类","黑龙江南岗区","0451-86664885,0451-86622839","http://www.hrbmu.edu.cn/zhaosheng/"
"393","江汉大学","普通本科","综合类","湖北汉阳区","027-84237298,027-84227229,027-84227521","https://jdzs.jhun.edu.cn/"
"394","三峡大学","普通本科","综合类","湖北","0717-6392282,0717-6392665","http://zs.ctgu.edu.cn/"
"395","武汉纺织大学","普通本科","理工类","湖北江夏区","027-59367521,027-59367524","http://zjc.wtu.edu.cn/"
"396","湖北工业大学","普通本科","理工类","湖北洪山区","400-0274620,027-59751111","http://zs.hbut.edu.cn"
"397","武汉工程大学","普通本科","理工类","湖北东西湖区","027-87002966","http://zsb.wit.edu.cn/"
"398","湖北汽车工业学院","普通本科","理工类","湖北张湾区","0719-8238223","http://zs.huat.edu.cn"
"399","武汉轻工大学","普通本科","理工类","湖北","027-83921022,027-83928885","http://zsb.whpu.edu.cn/"
"400","湖北中医药大学","普通本科","医药类","湖北洪山区","027-68891286,027-68890298","http://zs.hbtcm.edu.cn/"
"401","湖北医药学院","普通本科","医药类","湖北","0719-8891093","http://zs.hbmu.edu.cn"
"402","湖北师范大学","普通本科","师范类","湖北","0714-6575861,0714-6575862,0714-6575863","http://zhinengdayi.com/hbnu"
"403","黄冈师范学院","普通本科","师范类","湖北","0713-8616617,0713-8835368","http://zhaojiu.hgnu.edu.cn/zs/"
"404","黑龙江中医药大学","普通本科","医药类","黑龙江香坊区","0451-82110815,0451-82193406","http://zsjy.hljucm.net"
"405","牡丹江师范学院","普通本科","师范类","黑龙江爱民区","0453-6512058,0453-6511440","http://zs.mdjnu.cn/"
"406","湖北工程学院","普通本科","综合类","湖北","0712-2345651,0712-2345652,0712-2345653","http://zsjy.hbust.edu.cn/zssy.htm"
"407","哈尔滨商业大学","普通本科","财经类","黑龙江松北区","0451-84865257,0451-88103100","https://zsb.hrbcu.edu.cn/"
"408","湖北经济学院","普通本科","财经类","湖北江夏区","027-81973717","http://zs.hbue.edu.cn"
"409","东北石油大学","普通本科","理工类","黑龙江","0459-6503662,0335-8065200,0459-6504671,0459-6504674","http://zsxxw.nepu.edu.cn/"
"410","哈尔滨学院","普通本科","综合类","黑龙江南岗区","0451-86613350,0451-86688519,0451-86617723","http://zsxx.hrbu.edu.cn/"
"411","武汉体育学院","普通本科","体育类","湖北洪山区","027-87190222,027-87190168","http://zs.whsu.edu.cn"
"412","黑龙江工程学院","普通本科","理工类","黑龙江道外区","0451-88028842,0451-88028630",
"413","黑龙江科技大学","普通本科","理工类","黑龙江松北区","400-9003756","http://zs.usth.edu.cn"
"414","湖北美术学院","普通本科","艺术类","湖北江夏区","027-81317222","https://zjc.hifa.edu.cn/sy.htm"
"415","湖北民族大学","普通本科","综合类","湖北恩施市","0718-8439097,0718-8438300","http://zsxx.hbmy.edu.cn"
"416","牡丹江医学院","普通本科","医药类","黑龙江爱民区","0453-6585444","http://mdjmuzs.university-hr.com/showmore_zs.php?actiontype=1"
"417","齐齐哈尔医学院","普通本科","医药类","黑龙江建华区","13303625271,0452-2664111","https://zhaosheng.qmu.edu.cn/"
"418","武汉音乐学院","普通本科","艺术类","湖北武昌区","027-88076720","http://zsks.whcm.edu.cn/"
"419","黑龙江东方学院","普通本科","综合类","黑龙江平房区","0451-87505389,0451-87505390","http://www.dfxy.net/zsjy/index.htm"
"420","湖北科技学院","普通本科","综合类","湖北","0715-8338003","http://zsjy.hbust.edu.cn/zssy.htm"
"421","郑州轻工业大学","普通本科","理工类","河南金水区","0371-86608321,0371-86608312","http://zhaosheng.zzuli.edu.cn/"
"422","河南大学","普通本科","综合类","河南","0371-22196686,0371-22868221","http://zs.henu.edu.cn/"
"423","河南科技大学","普通本科","综合类","河南洛龙区","0379-65627022,0379-65627035","https://zjc.haust.edu.cn/"
"424","湖北文理学院","普通本科","综合类","湖北","0710-3595555,0710-3590904","http://zhinengdayi.com/hbuas"
"425","河南农业大学","普通本科","农林类","河南","0371-63558015,0371-63558020,0371-63558060","http://zs.henau.edu.cn/"
"426","河南理工大学","普通本科","理工类","河南","0391-3986000,0391-3986111,0391-3987225","http://www6.hpu.edu.cn/web5/"
"427","华北水利水电大学","普通本科","理工类","河南","0371-65790702,0371-65577818","http://www5.ncwu.edu.cn/zhaoshengwang/"
"428","华侨大学","普通本科","综合类","福建丰泽区","0595-22695678,0595-22691575","http://zsc.hqu.edu.cn"
"429","河南工业大学","普通本科","理工类","河南","0371-67756015,0371-67756016,0371-67756017","https://zs.haut.edu.cn/"
"430","福建农林大学","普通本科","农林类","福建台江区","0591-83789216","http://zsb.fafu.edu.cn"
"431","黄河科技学院","普通本科","理工类","河南","0371-68880130,0371-88858888","http://www.hhstu.cn/"
"432","西藏民族大学","普通本科","民族类","陕西渭城区","029-33755799,029-33755035","http://www1.xzmu.edu.cn/zsjyc/"
"433","集美大学","普通本科","综合类","福建集美区","0592-6181301,0592-6185889","http://zsb.jmu.edu.cn/"
"434","仰恩大学","普通本科","财经类","福建洛江区","0595-22091988,0595-22085622","http://web.yeu.edu.cn/zhaosheng/"
"435","福建师范大学","普通本科","师范类","福建","0591-22867412,0591-22867413","https://zsb.fjnu.edu.cn/"
"436","福建工程学院","普通本科","理工类","福建","0591-22863181","http://join.fjut.edu.cn"
"437","泉州师范学院","普通本科","师范类","福建","0595-22919911","http://www.qztc.edu.cn/zs"
"438","闽南师范大学","普通本科","师范类","福建","0596-2529991,0596-2597633","http://zsb.mnnu.edu.cn/"
"439","闽江学院","普通本科","综合类","福建","0591-83761856","http://zsb.mju.edu.cn"
"440","莆田学院","普通本科","综合类","福建荔城区","0594-2637164,0594-2615956","https://www.ptu.edu.cn/zhaosheng/"
"441","郑州航空工业管理学院","普通本科","财经类","河南","0371-61912539","http://zsxxw.zua.edu.cn/"
"442","西北民族大学","普通本科","综合类","甘肃","0931-2938300,0931-2938301","http://cms.xbmu.edu.cn/frontIndex.action?siteId=73"
"443","中原工学院","普通本科","理工类","河南中原区","0371-67698700","https://zsc.zut.edu.cn"
"444","新乡医学院","普通本科","医药类","河南红旗区","0373-3029485","http://zjc.xxmu.edu.cn/zsxxw/"
"445","兰州理工大学","普通本科","综合类","甘肃","0931-2973947,0931-2755263","https://zhaosheng.lut.edu.cn/"
"446","洛阳师范学院","普通本科","综合类","河南洛龙区","0379-68618104","http://sites.lynu.edu.cn/zsxx/"
"447","周口师范学院","普通本科","师范类","河南川汇区","0394-8592469","http://zs.zknu.edu.cn/"
"448","南阳师范学院","普通本科","师范类","河南","0377-63513466,0377-63510790","http://www2.nynu.edu.cn/xzbm/zhaosheng/"
"449","兰州交通大学","普通本科","综合类","甘肃","0931-4938051,0931-4956179","http://zsb.lzjtu.edu.cn/"
"450","商丘师范学院","普通本科","师范类","河南","0370-3057992,0370-3057995,0370-3057985","http://zhaoban.sqnu.edu.cn"
"451","河南财经政法大学","普通本科","财经类","河南","0371-86507767","http://zs.huel.edu.cn"
"452","青岛农业大学","普通本科","农林类","山东城阳区","0532-58957666","http://zsw.qau.edu.cn/"
"453","甘肃农业大学","普通本科","农林类","甘肃安宁区","0931-7631109","http://bkzs.gsau.edu.cn"
"454","许昌学院","普通本科","理工类","河南","0374-2968818","http://zs.xcu.edu.cn/"
"455","聊城大学","普通本科","综合类","山东","0635-8239405","http://zsb.lcu.edu.cn"
"456","西北师范大学","普通本科","师范类","甘肃","0931-7971922","https://zsb.nwnu.edu.cn/"
"457","临沂大学","普通本科","综合类","山东","0539-7258221,400-673-8808","http://zhaosheng.lyu.edu.cn/"
"458","甘肃中医药大学","普通本科","医药类","甘肃","0931-8765321,0931-8619911","http://zsb.gszy.edu.cn/index.html"
"459","青岛大学","普通本科","综合类","山东","0532-83780009,0532-83780001","https://zs.qdu.edu.cn/"
"460","兰州财经大学","普通本科","财经类","甘肃","0931-5259988","http://zjc.lzufe.edu.cn/zsw/sy.htm"
"461","甘肃政法大学","普通本科","政法类","甘肃安宁区","0931-7601433","https://bkzs.gsupl.edu.cn/"
"462","河西学院","普通本科","综合类","甘肃甘州区","0936-8283598","http://zsw.hxu.edu.cn/"
"463","海南大学","211","综合类","海南美兰区","0898-66266469,0898-66260171","https://www.hainanu.edu.cn/zhaosheng/"
"464","内蒙古科技大学","普通本科","综合类","内蒙古昆都仑区","0472-5953347,0472-5951605,0472-5953346","https://zhaosheng.imust.edu.cn/"
"465","内蒙古民族大学","普通本科","综合类","内蒙古","0475-8313584","http://zs.imun.edu.cn"
"466","青岛科技大学","普通本科","理工类","山东","0532-88957996","https://zs.qust.edu.cn/"
"467","内蒙古工业大学","普通本科","理工类","内蒙古新城区","0471-6576346","http://zsb.imut.edu.cn/"
"468","青岛理工大学","普通本科","理工类","山东市北区","0532-85071039","http://zhaosheng.qut.edu.cn/"
"469","曲阜师范大学","普通本科","师范类","山东","0537-4458658,0537-4418658,0537-4438658","https://zsb.qfnu.edu.cn/"
"470","海南师范大学","普通本科","师范类","海南","0898-65888710,0898-65880571","http://zhaosheng.hainnu.edu.cn/"
"471","海南医学院","普通本科","医药类","海南龙华区","0898-66895588,0898-66893610","http://www.hainmc.edu.cn/zsw/bzkzs.htm"
"472","贵州师范大学","普通本科","师范类","贵州","0851-86701855,0851-86701964","http://zjc.gznu.edu.cn/sdzs/"
"473","贵州医科大学","普通本科","医药类","贵州","0851-88416022,0851-86760608","http://zkb.gmc.edu.cn/"
"474","贵州民族大学","普通本科","综合类","贵州","0851-83610412","http://zjc.gzmu.edu.cn/zsxxw.htm"
"475","内蒙古农业大学","普通本科","农林类","内蒙古","0471-4311359,0471-4300730","http://zhaosheng.imau.edu.cn"
"476","遵义医科大学","普通本科","医药类","贵州红花岗区","0851-28609366,0851-28204408","https://zyzb.zmu.edu.cn/"
"477","内蒙古师范大学","普通本科","师范类","内蒙古","0471-4392514","http://zs.imnu.edu.cn/sy.htm"
"478","贵州财经大学","普通本科","财经类","贵州","0851-88575778,0851-88575779","https://sw.gufe.edu.cn/zhaosheng/index.zs"
"479","贵州中医药大学","普通本科","医药类","贵州南明区","0851-88308474","http://zs.gzy.edu.cn/"
"480","黔南民族师范学院","普通本科","师范类","贵州","0854-8737019","http://zsw.sgmtu.edu.cn/"
"481","遵义师范学院","普通本科","师范类","贵州","0851-28927462","http://www.zync.edu.cn/zsxxw1/"
"482","内蒙古医科大学","普通本科","医药类","内蒙古","0471-6653318,0471-6636217,0471-6653317","https://pgzs.immu.edu.cn/"
"483","山东工商学院","普通本科","财经类","山东莱山区","0535-6903560","http://zs.sdtbu.edu.cn/"
"484","山东工艺美术学院","普通本科","艺术类","山东","0531-89626210,0531-82619300,0531-82611812","http://zs.sdada.edu.cn/"
"485","山东建筑大学","普通本科","理工类","山东","0531-86367222,0531-86367225","https://zsb.sdjzu.edu.cn/"
"486","内蒙古财经大学","普通本科","财经类","内蒙古","0471-5300555,0471-5300312","http://www.imufe.edu.cn/zsxxw/"
"487","广西医科大学","普通本科","医药类","广西","0771-5359031,0771-5359030","http://zs.gxmu.edu.cn/"
"488","广西师范大学","普通本科","师范类","广西七星区","0773-5818532","https://bkzs.gxnu.edu.cn/"
"489","桂林电子科技大学","普通本科","理工类","广西","0773-2290010","https://www.guet.edu.cn/zs/"
"490","桂林理工大学","普通本科","理工类","广西","0773-5896575,0773-5891533","http://zj.glut.edu.cn/zsw/"
"491","山东交通学院","普通本科","理工类","山东","0531-80687112,0531-80687119","http://zsw.sdjtu.edu.cn/"
"492","山东财经大学","普通本科","财经类","山东","0531-88596191,0531-81793666,0531-88525423","http://zhaosheng.sdufe.edu.cn/tzgg/5.htm"
"493","广西科技大学","普通本科","综合类","广西城中区","0772-2687735,0772-2686118","http://www.gxust.edu.cn/zsw/"
"494","山东科技大学","普通本科","理工类","山东","0532-86057077","http://zs.sdust.edu.cn/"
"495","桂林医学院","普通本科","医药类","广西","0773-5895160","https://mgmt.glmc.edu.cn/zjc/"
"496","玉林师范学院","普通本科","师范类","广西","0775-2666516","http://www.ylnu.net/zsw.htm"
"497","山东理工大学","普通本科","理工类","山东张店区","0533-2780673","https://zszx.sdut.edu.cn/"
"498","南宁师范大学","普通本科","师范类","广西西乡塘区","0771-3903928","http://nnnuzsb.doerjob.com/"
"499","山东农业大学","普通本科","综合类","山东","0538-8248806,0538-8242206","http://zhaosheng.sdau.edu.cn"
"500","广西民族大学","普通本科","民族类","广西","0771-3260410","http://zs.gxun.edu.cn/"
"501","宁夏大学","211","综合类","宁夏西夏区","0951-2061897","http://zs.nxu.edu.cn/"
