序号,学科门类,门类代码,一级学科名称,学科代码,评估结果,院校名称,学校代码,评估百分位,评估名次,评估档次,全国“博士授权”高校总数,本次参评“博士授权”高校数,本次参评高校总数,双一流学科
2368,工学,8,电气工程,808,A,华北电力大学,10079,2%-5%,前4名,2档,40,39,84,电气工程（自定）
2489,工学,8,电子科学与技术,809,C-,华北电力大学,10079,60%-70%,前63-74名,9档,52,49,106,
2554,工学,8,信息与通信工程,810,C+,华北电力大学,10079,40%-50%,前54-68名,7档,64,61,137,
2626,工学,8,控制科学与工程,811,B,华北电力大学,10079,20%-30%,前32-48名,5档,67,64,162,
2783,工学,8,计算机科学与技术,812,B-,华北电力大学,10079,30%-40%,前71-95名,6档,77,75,238,
3031,工学,8,水利工程,815,C,华北电力大学,10079,50%-60%,前24-29名,8档,24,24,49,
3415,工学,8,环境科学与工程,830,B-,华北电力大学,10079,30%-40%,前46-62名,6档,60,57,155,
3707,工学,8,软件工程,835,B-,华北电力大学,10079,30%-40%,前49-66名,6档,46,45,165,
4424,管理学,12,管理科学与工程,1201,B+,华北电力大学,10079,10%-20%,前18-37名,4档,90,85,187,
4566,管理学,12,工商管理,1202,B+,华北电力大学,10079,10%-20%,前24-48名,4档,65,63,240,
4809,管理学,12,公共管理,1204,C,华北电力大学,10079,50%-60%,前71-85名,8档,43,27,143,
2842,工学,8,计算机科学与技术,812,C,华南农业大学,10564,50%-60%,前119-142名,8档,77,75,238,
3159,工学,8,化学工程与技术,817,C-,华南农业大学,10564,60%-70%,前86-100名,9档,54,51,144,
3338,工学,8,农业工程,828,B+,华南农业大学,10564,10%-20%,前3-7名,4档,24,21,37,
3471,工学,8,环境科学与工程,830,C-,华南农业大学,10564,60%-70%,前93-108名,9档,60,57,155,
3540,工学,8,食品科学与工程,832,B+,华南农业大学,10564,10%-20%,前7-15名,4档,27,26,79,
3638,工学,8,风景园林学,834,B-,华南农业大学,10564,30%-40%,前16-22名,6档,20,20,56,
3820,农学,9,作物学,901,B,华南农业大学,10564,20%-30%,前8-12名,5档,30,30,42,
3848,农学,9,园艺学,902,B,华南农业大学,10564,20%-30%,前7-10名,5档,21,21,36,
3872,农学,9,农业资源与环境,903,B,华南农业大学,10564,20%-30%,前6-10名,5档,19,18,34,
3895,农学,9,植物保护,904,B,华南农业大学,10564,20%-30%,前7-10名,5档,24,20,35,
3916,农学,9,畜牧学,905,B+,华南农业大学,10564,10%-20%,前4-8名,4档,30,28,44,
3943,农学,9,兽医学,906,A-,华南农业大学,10564,5%-10%,前2-4名,3档,20,20,41,
3983,农学,9,林学,907,C+,华南农业大学,10564,40%-50%,前12-15名,7档,18,18,30,
4010,农学,9,草学,909,B-,华南农业大学,10564,30%-40%,前7-10名,6档,14,13,26,
4713,管理学,12,农林经济管理,1203,B+,华南农业大学,10564,10%-20%,前3-7名,4档,24,22,39,
4816,管理学,12,公共管理,1204,C,华南农业大学,10564,50%-60%,前71-85名,8档,43,27,143,
31,哲学,1,哲学,101,B-,华南师范大学,10574,30%-40%,前25-33名,6档,48,38,84,
92,经济学,2,理论经济学,201,B-,华南师范大学,10574,30%-40%,前27-36名,6档,39,38,90,
192,经济学,2,应用经济学,202,C+,华南师范大学,10574,40%-50%,前62-77名,7档,66,58,155,
325,法学,3,法学,301,C-,华南师范大学,10574,60%-70%,前86-100名,9档,40,38,144,
358,法学,3,政治学,302,B-,华南师范大学,10574,30%-40%,前22-30名,6档,30,28,76,
468,法学,3,马克思主义理论,305,A-,华南师范大学,10574,5%-10%,前11-23名,3档,93,83,231,
619,教育学,4,教育学,401,A-,华南师范大学,10574,5%-10%,前5-10名,3档,31,30,101,
683,教育学,4,心理学,402,A+,华南师范大学,10574,前2%,前2名,1档,24,23,51,
723,教育学,4,体育学,403,A-,华南师范大学,10574,5%-10%,前3-7名,3档,21,21,78,
810,文学,5,中国语言文学,501,B,华南师范大学,10574,20%-30%,前29-44名,5档,65,64,148,
933,文学,5,外国语言文学,502,B-,华南师范大学,10574,30%-40%,前44-59名,6档,41,38,163,
1117,历史学,6,中国史,602,C,华南师范大学,10574,50%-60%,前41-49名,8档,48,48,82,
1154,历史学,6,世界史,603,C+,华南师范大学,10574,40%-50%,前23-29名,7档,31,31,58,
1200,理学,7,数学,701,B+,华南师范大学,10574,10%-20%,前18-36名,4档,76,69,182,
1317,理学,7,物理学,702,B+,华南师范大学,10574,10%-20%,前12-25名,4档,64,56,127,物理学
1427,理学,7,化学,703,B,华南师范大学,10574,20%-30%,前30-45名,5档,69,66,150,
1510,理学,7,地理学,705,B,华南师范大学,10574,20%-30%,前12-18名,5档,31,29,60,
1645,理学,7,生物学,710,B-,华南师范大学,10574,30%-40%,前48-64名,6档,91,75,161,
1758,理学,7,生态学,713,B-,华南师范大学,10574,30%-40%,前30-40名,6档,57,48,100,
4924,艺术学,13,音乐与舞蹈学,1302,B-,华南师范大学,10574,30%-40%,前20-27名,6档,11,11,69,
5024,艺术学,13,美术学,1304,C+,华南师范大学,10574,40%-50%,前37-46名,7档,15,15,93,
279,法学,3,法学,301,B-,华南理工大学,10561,30%-40%,前43-57名,6档,40,38,144,
511,法学,3,马克思主义理论,305,B,华南理工大学,10561,20%-30%,前46-69名,5档,93,83,231,
932,文学,5,外国语言文学,502,B-,华南理工大学,10561,30%-40%,前44-59名,6档,41,38,163,
1018,文学,5,新闻传播学,503,B-,华南理工大学,10561,30%-40%,前24-32名,6档,17,17,81,
1199,理学,7,数学,701,B+,华南理工大学,10561,10%-20%,前18-36名,4档,76,69,182,
1355,理学,7,物理学,702,C+,华南理工大学,10561,40%-50%,前50-63名,7档,64,56,127,
1426,理学,7,化学,703,B,华南理工大学,10561,20%-30%,前30-45名,5档,69,66,150,化学
1644,理学,7,生物学,710,B-,华南理工大学,10561,30%-40%,前48-64名,6档,91,75,161,
1913,工学,8,力学,801,C+,华南理工大学,10561,40%-50%,前32-40名,7档,53,52,80,
1947,工学,8,机械工程,802,A-,华南理工大学,10561,5%-10%,前9-18名,3档,93,89,189,
2185,工学,8,材料科学与工程,805,A-,华南理工大学,10561,5%-10%,前8-17名,3档,93,89,172,材料科学与工程
2346,工学,8,动力工程及工程热物理,807,C+,华南理工大学,10561,40%-50%,前33-42名,7档,43,42,84,
2389,工学,8,电气工程,808,B,华南理工大学,10561,20%-30%,前16-25名,5档,40,39,84,
2454,工学,8,电子科学与技术,809,B,华南理工大学,10561,20%-30%,前21-31名,5档,52,49,106,
2519,工学,8,信息与通信工程,810,B+,华南理工大学,10561,10%-20%,前13-27名,4档,64,61,137,
2621,工学,8,控制科学与工程,811,B+,华南理工大学,10561,10%-20%,前16-32名,4档,67,64,162,
2749,工学,8,计算机科学与技术,812,B+,华南理工大学,10561,10%-20%,前23-47名,4档,77,75,238,
2880,工学,8,建筑学,813,A-,华南理工大学,10561,5%-10%,前2-5名,3档,16,16,54,
2935,工学,8,土木工程,814,B+,华南理工大学,10561,10%-20%,前13-26名,4档,56,54,134,
3040,工学,8,水利工程,815,C-,华南理工大学,10561,60%-70%,前29-34名,9档,24,24,49,
3075,工学,8,化学工程与技术,817,A-,华南理工大学,10561,5%-10%,前7-14名,3档,54,51,144,
3230,工学,8,轻工技术与工程,822,A+,华南理工大学,10561,前2%,前2名,1档,9,9,24,轻工技术与工程
3263,工学,8,交通运输工程,823,B-,华南理工大学,10561,30%-40%,前15-20名,6档,27,25,52,
3381,工学,8,环境科学与工程,830,A-,华南理工大学,10561,5%-10%,前7-15名,3档,60,57,155,
3488,工学,8,生物医学工程,831,B+,华南理工大学,10561,10%-20%,前7-14名,4档,35,32,70,
3533,工学,8,食品科学与工程,832,A-,华南理工大学,10561,5%-10%,前3-7名,3档,27,26,79,
3589,工学,8,城乡规划学,833,B+,华南理工大学,10561,10%-20%,前5-10名,4档,13,13,51,
3626,工学,8,风景园林学,834,B+,华南理工大学,10561,10%-20%,前5-11名,4档,20,20,56,
3682,工学,8,软件工程,835,B+,华南理工大学,10561,10%-20%,前16-33名,4档,46,45,165,
3799,工学,8,安全科学与工程,837,C+,华南理工大学,10561,40%-50%,前20-26名,7档,20,20,52,
4420,管理学,12,管理科学与工程,1201,A-,华南理工大学,10561,5%-10%,前9-18名,3档,90,85,187,
4582,管理学,12,工商管理,1202,B+,华南理工大学,10561,10%-20%,前24-48名,4档,65,63,240,
4787,管理学,12,公共管理,1204,B-,华南理工大学,10561,30%-40%,前42-57名,6档,43,27,143,
4202,医学,10,中医学,1005,A-,南京中医药大学,10315,5%-10%,前1-3名,3档,20,20,37,
4228,医学,10,中西医结合,1006,A-,南京中医药大学,10315,5%-10%,前2-5名,3档,32,32,54,
4297,医学,10,药学,1007,B-,南京中医药大学,10315,30%-40%,前31-41名,6档,41,37,104,
4337,医学,10,中药学,1008,A-,南京中医药大学,10315,5%-10%,前2-4名,3档,24,22,43,中药学
4372,医学,10,护理学,1011,B+,南京中医药大学,10315,10%-20%,前5-11名,4档,23,22,59,
4827,管理学,12,公共管理,1204,C-,南京中医药大学,10315,60%-70%,前85-100名,9档,43,27,143,
742,教育学,4,体育学,403,B-,南京体育学院,10330,30%-40%,前23-31名,6档,21,21,78,
1228,理学,7,数学,701,B-,南京信息工程大学,10300,30%-40%,前54-72名,6档,76,69,182,
1533,理学,7,地理学,705,C-,南京信息工程大学,10300,60%-70%,前36-42名,9档,31,29,60,
1539,理学,7,大气科学,706,A+,南京信息工程大学,10300,前2%,前2名,1档,9,8,14,大气科学
1713,理学,7,科学技术史,712,B-,南京信息工程大学,10300,30%-40%,前6-8名,6档,9,7,21,
1774,理学,7,生态学,713,C,南京信息工程大学,10300,50%-60%,前50-60名,8档,57,48,100,
2113,工学,8,光学工程,803,C-,南京信息工程大学,10300,60%-70%,前48-56名,9档,39,36,80,
2558,工学,8,信息与通信工程,810,C+,南京信息工程大学,10300,40%-50%,前54-68名,7档,64,61,137,
2768,工学,8,计算机科学与技术,812,B,南京信息工程大学,10300,20%-30%,前47-71名,5档,77,75,238,
3419,工学,8,环境科学与工程,830,B-,南京信息工程大学,10300,30%-40%,前46-62名,6档,60,57,155,
3729,工学,8,软件工程,835,C+,南京信息工程大学,10300,40%-50%,前66-82名,7档,46,45,165,
4487,管理学,12,管理科学与工程,1201,C+,南京信息工程大学,10300,40%-50%,前74-93名,7档,90,85,187,
4692,管理学,12,工商管理,1202,C-,南京信息工程大学,10300,60%-70%,前144-168名,9档,65,63,240,
3341,工学,8,农业工程,828,B,南京农业大学,10307,20%-30%,前7-11名,5档,24,21,37,
3435,工学,8,环境科学与工程,830,C+,南京农业大学,10307,40%-50%,前62-77名,7档,60,57,155,
3530,工学,8,食品科学与工程,832,A-,南京农业大学,10307,5%-10%,前3-7名,3档,27,26,79,
3643,工学,8,风景园林学,834,C+,南京农业大学,10307,40%-50%,前22-28名,7档,20,20,56,
3811,农学,9,作物学,901,A+,南京农业大学,10307,前2%,前2名,1档,30,30,42,作物学
3841,农学,9,园艺学,902,A-,南京农业大学,10307,5%-10%,前1-3名,3档,21,21,36,
3864,农学,9,农业资源与环境,903,A+,南京农业大学,10307,前2%,前2名,1档,19,18,34,农业资源与环境
3887,农学,9,植物保护,904,A+,南京农业大学,10307,前2%,前2名,1档,24,20,35,
3915,农学,9,畜牧学,905,B+,南京农业大学,10307,10%-20%,前4-8名,4档,30,28,44,
3947,农学,9,兽医学,906,B+,南京农业大学,10307,10%-20%,前4-8名,4档,20,20,41,
3995,农学,9,水产,908,B-,南京农业大学,10307,30%-40%,前5-7名,6档,9,8,19,
4015,农学,9,草学,909,C+,南京农业大学,10307,40%-50%,前10-13名,7档,14,13,26,
4671,管理学,12,工商管理,1202,C,南京农业大学,10307,50%-60%,前120-144名,8档,65,63,240,
4708,管理学,12,农林经济管理,1203,A+,南京农业大学,10307,前2%,前2名,1档,24,22,39,
4738,管理学,12,公共管理,1204,A,南京农业大学,10307,2%-5%,前7名,2档,43,27,143,
4850,管理学,12,图书情报与档案管理,1205,B-,南京农业大学,10307,30%-40%,前11-15名,6档,11,10,39,
4030,医学,10,基础医学,1001,B+,南京医科大学,10312,10%-20%,前7-15名,4档,43,38,78,
4087,医学,10,临床医学,1002,B+,南京医科大学,10312,10%-20%,前8-17名,4档,52,48,86,
4139,医学,10,口腔医学,1003,B+,南京医科大学,10312,10%-20%,前3-7名,4档,16,15,39,
4163,医学,10,公共卫生与预防医学,1004,A+,南京医科大学,10312,前2%,前2名,1档,34,32,54,
4286,医学,10,药学,1007,B,南京医科大学,10312,20%-30%,前20-31名,5档,41,37,104,
4371,医学,10,护理学,1011,B+,南京医科大学,10312,10%-20%,前5-11名,4档,23,22,59,
4,哲学,1,哲学,101,A,南京大学,10284,2%-5%,前4名,2档,48,38,84,哲学
64,经济学,2,理论经济学,201,A-,南京大学,10284,5%-10%,前4-9名,3档,39,38,90,
142,经济学,2,应用经济学,202,B+,南京大学,10284,10%-20%,前15-31名,4档,66,58,155,
240,法学,3,法学,301,A-,南京大学,10284,5%-10%,前7-14名,3档,40,38,144,
341,法学,3,政治学,302,B+,南京大学,10284,10%-20%,前7-15名,4档,30,28,76,
385,法学,3,社会学,303,A,南京大学,10284,2%-5%,前3名,2档,24,24,65,
480,法学,3,马克思主义理论,305,B+,南京大学,10284,10%-20%,前23-46名,4档,93,83,231,
775,文学,5,中国语言文学,501,A,南京大学,10284,2%-5%,前7名,2档,65,64,148,中国语言文学
879,文学,5,外国语言文学,502,A,南京大学,10284,2%-5%,前7名,2档,41,38,163,外国语言文学
1000,文学,5,新闻传播学,503,B+,南京大学,10284,10%-20%,前8-16名,4档,17,17,81,
1048,历史学,6,考古学,601,B+,南京大学,10284,10%-20%,前3-7名,4档,21,21,36,
1073,历史学,6,中国史,602,A,南京大学,10284,2%-5%,前4名,2档,48,48,82,
1135,历史学,6,世界史,603,B+,南京大学,10284,10%-20%,前5-11名,4档,31,31,58,
1180,理学,7,数学,701,A-,南京大学,10284,5%-10%,前9-18名,3档,76,69,182,
1301,理学,7,物理学,702,A,南京大学,10284,2%-5%,前6名,2档,64,56,127,物理学
1393,理学,7,化学,703,A-,南京大学,10284,5%-10%,前7-15名,3档,69,66,150,化学
1490,理学,7,天文学,704,A+,南京大学,10284,前2%,前2名,1档,7,6,8,天文学
1498,理学,7,地理学,705,A-,南京大学,10284,5%-10%,前3-6名,3档,31,29,60,
1540,理学,7,大气科学,706,B,南京大学,10284,20%-30%,前2-4名,5档,9,8,14,大气科学
1555,理学,7,海洋科学,707,C+,南京大学,10284,40%-50%,前8-11名,7档,12,10,22,
1571,理学,7,地质学,709,A+,南京大学,10284,前2%,前2名,1档,17,15,22,地质学
1590,理学,7,生物学,710,A,南京大学,10284,2%-5%,前8名,2档,91,75,161,生物学
1728,理学,7,生态学,713,A-,南京大学,10284,5%-10%,前5-10名,3档,57,48,100,
1827,理学,7,统计学,714,B-,南京大学,10284,30%-40%,前36-48名,6档,54,51,120,
2083,工学,8,光学工程,803,B,南京大学,10284,20%-30%,前16-24名,5档,39,36,80,
2197,工学,8,材料科学与工程,805,B+,南京大学,10284,10%-20%,前17-34名,4档,93,89,172,材料科学与工程
2432,工学,8,电子科学与技术,809,A-,南京大学,10284,5%-10%,前5-10名,3档,52,49,106,
2529,工学,8,信息与通信工程,810,B,南京大学,10284,20%-30%,前27-41名,5档,64,61,137,
2680,工学,8,控制科学与工程,811,C+,南京大学,10284,40%-50%,前64-81名,7档,67,64,162,
2716,工学,8,计算机科学与技术,812,A,南京大学,10284,2%-5%,前11名,2档,77,75,238,计算机科学与技术
2889,工学,8,建筑学,813,B,南京大学,10284,20%-30%,前10-16名,5档,16,16,54,
3022,工学,8,水利工程,815,B-,南京大学,10284,30%-40%,前14-19名,6档,24,24,49,
3174,工学,8,地质资源与地质工程,818,B,南京大学,10284,20%-30%,前7-11名,5档,27,26,38,
3372,工学,8,环境科学与工程,830,A,南京大学,10284,2%-5%,前7名,2档,60,57,155,环境科学与工程
3508,工学,8,生物医学工程,831,C+,南京大学,10284,40%-50%,前28-35名,7档,35,32,70,
3587,工学,8,城乡规划学,833,B+,南京大学,10284,10%-20%,前5-10名,4档,13,13,51,
3662,工学,8,软件工程,835,A,南京大学,10284,2%-5%,前8名,2档,46,45,165,
4431,管理学,12,管理科学与工程,1201,B+,南京大学,10284,10%-20%,前18-37名,4档,90,85,187,
4547,管理学,12,工商管理,1202,A,南京大学,10284,2%-5%,前12名,2档,65,63,240,
4756,管理学,12,公共管理,1204,B+,南京大学,10284,10%-20%,前14-28名,4档,43,27,143,
4837,管理学,12,图书情报与档案管理,1205,A+,南京大学,10284,前2%,前2名,1档,11,10,39,图书情报与档案管理
121,经济学,2,理论经济学,201,C-,南京审计大学,11287,60%-70%,前54-63名,9档,39,38,90,
216,经济学,2,应用经济学,202,C,南京审计大学,11287,50%-60%,前77-93名,8档,66,58,155,
4608,管理学,12,工商管理,1202,B,南京审计大学,11287,20%-30%,前48-72名,5档,65,63,240,
1465,理学,7,化学,703,C,南京工业大学,10291,50%-60%,前75-90名,8档,69,66,150,
2052,工学,8,机械工程,802,C-,南京工业大学,10291,60%-70%,前113-132名,9档,93,89,189,
2199,工学,8,材料科学与工程,805,B+,南京工业大学,10291,10%-20%,前17-34名,4档,93,89,172,
2327,工学,8,动力工程及工程热物理,807,B,南京工业大学,10291,20%-30%,前16-25名,5档,43,42,84,
2667,工学,8,控制科学与工程,811,C+,南京工业大学,10291,40%-50%,前64-81名,7档,67,64,162,
2906,工学,8,建筑学,813,C,南京工业大学,10291,50%-60%,前27-32名,8档,16,16,54,
2941,工学,8,土木工程,814,B,南京工业大学,10291,20%-30%,前26-40名,5档,56,54,134,
3069,工学,8,化学工程与技术,817,A,南京工业大学,10291,2%-5%,前7名,2档,54,51,144,
3234,工学,8,轻工技术与工程,822,B,南京工业大学,10291,20%-30%,前4-7名,5档,9,9,24,
3434,工学,8,环境科学与工程,830,C+,南京工业大学,10291,40%-50%,前62-77名,7档,60,57,155,
3602,工学,8,城乡规划学,833,C+,南京工业大学,10291,40%-50%,前20-25名,7档,13,13,51,
3762,工学,8,软件工程,835,C-,南京工业大学,10291,60%-70%,前99-115名,9档,46,45,165,
3782,工学,8,安全科学与工程,837,B+,南京工业大学,10291,10%-20%,前5-10名,4档,20,20,52,
4305,医学,10,药学,1007,C+,南京工业大学,10291,40%-50%,前41-52名,7档,41,37,104,
4501,管理学,12,管理科学与工程,1201,C,南京工业大学,10291,50%-60%,前93-112名,8档,90,85,187,
4668,管理学,12,工商管理,1202,C,南京工业大学,10291,50%-60%,前120-144名,8档,65,63,240,
21,哲学,1,哲学,101,B,南京师范大学,10319,20%-30%,前16-25名,5档,48,38,84,
172,经济学,2,应用经济学,202,B-,南京师范大学,10319,30%-40%,前46-62名,6档,66,58,155,
250,法学,3,法学,301,B+,南京师范大学,10319,10%-20%,前14-28名,4档,40,38,144,
356,法学,3,政治学,302,B-,南京师范大学,10319,30%-40%,前22-30名,6档,30,28,76,
416,法学,3,社会学,303,C,南京师范大学,10319,50%-60%,前32-39名,8档,24,24,65,
456,法学,3,马克思主义理论,305,A,南京师范大学,10319,2%-5%,前11名,2档,93,83,231,
614,教育学,4,教育学,401,A,南京师范大学,10319,2%-5%,前5名,2档,31,30,101,
687,教育学,4,心理学,402,B+,南京师范大学,10319,10%-20%,前5-10名,4档,24,23,51,
735,教育学,4,体育学,403,B,南京师范大学,10319,20%-30%,前15-23名,5档,21,21,78,
782,文学,5,中国语言文学,501,A-,南京师范大学,10319,5%-10%,前7-14名,3档,65,64,148,
888,文学,5,外国语言文学,502,A-,南京师范大学,10319,5%-10%,前7-14名,3档,41,38,163,
1001,文学,5,新闻传播学,503,B+,南京师范大学,10319,10%-20%,前8-16名,4档,17,17,81,
1064,历史学,6,考古学,601,C,南京师范大学,10319,50%-60%,前18-21名,8档,21,21,36,
1096,历史学,6,中国史,602,B-,南京师范大学,10319,30%-40%,前24-32名,6档,48,48,82,
1190,理学,7,数学,701,B+,南京师范大学,10319,10%-20%,前18-36名,4档,76,69,182,
1340,理学,7,物理学,702,B-,南京师范大学,10319,30%-40%,前38-50名,6档,64,56,127,
1419,理学,7,化学,703,B,南京师范大学,10319,20%-30%,前30-45名,5档,69,66,150,
1499,理学,7,地理学,705,A-,南京师范大学,10319,5%-10%,前3-6名,3档,31,29,60,地理学
1608,理学,7,生物学,710,B+,南京师范大学,10319,10%-20%,前16-32名,4档,91,75,161,
1761,理学,7,生态学,713,C+,南京师范大学,10319,40%-50%,前40-50名,7档,57,48,100,
1829,理学,7,统计学,714,B-,南京师范大学,10319,30%-40%,前36-48名,6档,54,51,120,
4914,艺术学,13,音乐与舞蹈学,1302,B,南京师范大学,10319,20%-30%,前13-20名,5档,11,11,69,
4966,艺术学,13,戏剧与影视学,1303,B-,南京师范大学,10319,30%-40%,前15-20名,6档,14,13,51,
4990,艺术学,13,美术学,1304,A-,南京师范大学,10319,5%-10%,前4-9名,3档,15,15,93,
5078,艺术学,13,设计学,1305,B-,南京师范大学,10319,30%-40%,前28-37名,6档,16,16,94,
494,法学,3,马克思主义理论,305,B+,南京政治学院,90021,10%-20%,前23-46名,4档,93,83,231,
1020,文学,5,新闻传播学,503,B-,南京政治学院,90021,30%-40%,前24-32名,6档,17,17,81,
4848,管理学,12,图书情报与档案管理,1205,B,南京政治学院,90021,20%-30%,前7-11名,5档,11,10,39,
2013,工学,8,机械工程,802,C+,南京林业大学,10298,40%-50%,前75-94名,7档,93,89,189,
2987,工学,8,土木工程,814,C,南京林业大学,10298,50%-60%,前67-80名,8档,56,54,134,
3139,工学,8,化学工程与技术,817,C,南京林业大学,10298,50%-60%,前72-86名,8档,54,51,144,
3238,工学,8,轻工技术与工程,822,C+,南京林业大学,10298,40%-50%,前9-12名,7档,9,9,24,
3279,工学,8,交通运输工程,823,C-,南京林业大学,10298,60%-70%,前31-36名,9档,27,25,52,
3359,工学,8,林业工程,829,A+,南京林业大学,10298,前2%,前2名,1档,8,8,13,林业工程
3449,工学,8,环境科学与工程,830,C,南京林业大学,10298,50%-60%,前77-93名,8档,60,57,155,
3621,工学,8,风景园林学,834,A-,南京林业大学,10298,5%-10%,前2-5名,3档,20,20,56,
3970,农学,9,林学,907,A+,南京林业大学,10298,前2%,前2名,1档,18,18,30,
525,法学,3,马克思主义理论,305,B-,南京理工大学,10288,30%-40%,前69-92名,6档,93,83,231,
978,文学,5,外国语言文学,502,C-,南京理工大学,10288,60%-70%,前88-103名,9档,41,38,163,
1227,理学,7,数学,701,B-,南京理工大学,10288,30%-40%,前54-72名,6档,76,69,182,
1376,理学,7,物理学,702,C-,南京理工大学,10288,60%-70%,前76-88名,9档,64,56,127,
1480,理学,7,化学,703,C-,南京理工大学,10288,60%-70%,前90-105名,9档,69,66,150,
1893,工学,8,力学,801,B,南京理工大学,10288,20%-30%,前16-24名,5档,53,52,80,
1957,工学,8,机械工程,802,B+,南京理工大学,10288,10%-20%,前18-37名,4档,93,89,189,
2077,工学,8,光学工程,803,B+,南京理工大学,10288,10%-20%,前8-16名,4档,39,36,80,
2145,工学,8,仪器科学与技术,804,B-,南京理工大学,10288,30%-40%,前21-29名,6档,32,29,73,
2210,工学,8,材料科学与工程,805,B,南京理工大学,10288,20%-30%,前34-51名,5档,93,89,172,
2341,工学,8,动力工程及工程热物理,807,C+,南京理工大学,10288,40%-50%,前33-42名,7档,43,42,84,
2410,工学,8,电气工程,808,C,南京理工大学,10288,50%-60%,前42-50名,8档,40,39,84,
2449,工学,8,电子科学与技术,809,B,南京理工大学,10288,20%-30%,前21-31名,5档,52,49,106,
2531,工学,8,信息与通信工程,810,B,南京理工大学,10288,20%-30%,前27-41名,5档,64,61,137,
2617,工学,8,控制科学与工程,811,B+,南京理工大学,10288,10%-20%,前16-32名,4档,67,64,162,
2742,工学,8,计算机科学与技术,812,B+,南京理工大学,10288,10%-20%,前23-47名,4档,77,75,238,
2998,工学,8,土木工程,814,C-,南京理工大学,10288,60%-70%,前80-93名,9档,56,54,134,
3073,工学,8,化学工程与技术,817,A-,南京理工大学,10288,5%-10%,前7-14名,3档,54,51,144,
3305,工学,8,航空宇航科学与技术,825,C,南京理工大学,10288,50%-60%,前12-15名,8档,12,12,25,
3311,工学,8,兵器科学与技术,826,A+,南京理工大学,10288,前2%,前2名,1档,14,10,13,兵器科学与技术
3406,工学,8,环境科学与工程,830,B,南京理工大学,10288,20%-30%,前31-46名,5档,60,57,155,
3692,工学,8,软件工程,835,B,南京理工大学,10288,20%-30%,前33-49名,5档,46,45,165,
3796,工学,8,安全科学与工程,837,C+,南京理工大学,10288,40%-50%,前20-26名,7档,20,20,52,
4452,管理学,12,管理科学与工程,1201,B,南京理工大学,10288,20%-30%,前37-56名,5档,90,85,187,
4640,管理学,12,工商管理,1202,C+,南京理工大学,10288,40%-50%,前96-120名,7档,65,63,240,
4853,管理学,12,图书情报与档案管理,1205,C+,南京理工大学,10288,40%-50%,前15-19名,7档,11,10,39,
5088,艺术学,13,设计学,1305,C+,南京理工大学,10288,40%-50%,前37-47名,7档,16,16,94,
503,法学,3,马克思主义理论,305,B,南京航空航天大学,10287,20%-30%,前46-69名,5档,93,83,231,
946,文学,5,外国语言文学,502,C+,南京航空航天大学,10287,40%-50%,前59-74名,7档,41,38,163,
1226,理学,7,数学,701,B-,南京航空航天大学,10287,30%-40%,前54-72名,6档,76,69,182,
1349,理学,7,物理学,702,C+,南京航空航天大学,10287,40%-50%,前50-63名,7档,64,56,127,
1464,理学,7,化学,703,C,南京航空航天大学,10287,50%-60%,前75-90名,8档,69,66,150,
1882,工学,8,力学,801,A-,南京航空航天大学,10287,5%-10%,前4-8名,3档,53,52,80,力学
1944,工学,8,机械工程,802,A-,南京航空航天大学,10287,5%-10%,前9-18名,3档,93,89,189,
2099,工学,8,光学工程,803,C+,南京航空航天大学,10287,40%-50%,前32-40名,7档,39,36,80,
2144,工学,8,仪器科学与技术,804,B-,南京航空航天大学,10287,30%-40%,前21-29名,6档,32,29,73,
2209,工学,8,材料科学与工程,805,B,南京航空航天大学,10287,20%-30%,前34-51名,5档,93,89,172,
2326,工学,8,动力工程及工程热物理,807,B,南京航空航天大学,10287,20%-30%,前16-25名,5档,43,42,84,
2378,工学,8,电气工程,808,B+,南京航空航天大学,10287,10%-20%,前8-16名,4档,40,39,84,
2479,工学,8,电子科学与技术,809,C,南京航空航天大学,10287,50%-60%,前53-63名,8档,52,49,106,
2530,工学,8,信息与通信工程,810,B,南京航空航天大学,10287,20%-30%,前27-41名,5档,64,61,137,
2616,工学,8,控制科学与工程,811,B+,南京航空航天大学,10287,10%-20%,前16-32名,4档,67,64,162,
2741,工学,8,计算机科学与技术,812,B+,南京航空航天大学,10287,10%-20%,前23-47名,4档,77,75,238,
2986,工学,8,土木工程,814,C,南京航空航天大学,10287,50%-60%,前67-80名,8档,56,54,134,
3257,工学,8,交通运输工程,823,B,南京航空航天大学,10287,20%-30%,前10-15名,5档,27,25,52,
3296,工学,8,航空宇航科学与技术,825,B+,南京航空航天大学,10287,10%-20%,前2-5名,4档,12,12,25,
3331,工学,8,核科学与技术,827,C-,南京航空航天大学,10287,60%-70%,前12-14名,9档,12,11,20,
3526,工学,8,生物医学工程,831,C-,南京航空航天大学,10287,60%-70%,前42-49名,9档,35,32,70,
3680,工学,8,软件工程,835,B+,南京航空航天大学,10287,10%-20%,前16-33名,4档,46,45,165,
4417,管理学,12,管理科学与工程,1201,A-,南京航空航天大学,10287,5%-10%,前9-18名,3档,90,85,187,
4599,管理学,12,工商管理,1202,B,南京航空航天大学,10287,20%-30%,前48-72名,5档,65,63,240,
4873,艺术学,13,艺术学理论,1301,B+,南京艺术学院,10331,10%-20%,前5-10名,4档,19,18,50,
